                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.1239,                 2.2214,                 1.5839,                 1.1404,                0.32849,                0.32301,                0.26271,                0.20776,                0.33235,                0.31238,                0.25724,                0.19852,                 0.9352,                 1.9081,                 1.4805,                 1.0714,              0.0041837,              0.0041837,              0.0041837
                     50,                 1.1146,                 2.2172,                 1.5771,                 1.1422,                0.30278,                0.32604,                  0.262,                0.21169,                0.29962,                0.32091,                0.25464,                0.19761,                0.91369,                 1.8759,                 1.4775,                 1.0659,                0.00406,                0.00406,                0.00406
                     51,                   1.11,                 2.2255,                 1.5705,                 1.1348,                 0.3005,                0.34031,                0.27667,                0.22518,                0.29146,                0.32959,                0.26903,                0.21129,                 0.9017,                 1.8638,                  1.423,                 1.0524,              0.0039362,              0.0039362,              0.0039362
                     52,                 1.1222,                 2.2442,                 1.5618,                 1.1386,                0.31766,                0.31058,                0.26155,                0.21318,                0.34139,                0.29882,                 0.2551,                0.19762,                0.88105,                 1.8521,                 1.4369,                 1.0415,              0.0038125,              0.0038125,              0.0038125
                     53,                 1.1067,                 2.2033,                 1.5647,                  1.143,                0.31815,                0.31542,                0.27593,                0.22418,                0.52817,                0.27613,                0.27018,                0.20966,                0.90868,                 1.8722,                 1.4254,                 1.0681,              0.0036888,              0.0036888,              0.0036888
                     54,                 1.1003,                 2.1915,                 1.5323,                 1.1266,                0.27534,                0.33576,                0.27278,                0.22354,                 0.2986,                0.32342,                0.26876,                0.21208,                0.90624,                 1.8425,                 1.4217,                 1.0501,               0.003565,               0.003565,               0.003565
                     55,                 1.0996,                 2.1965,                 1.5353,                 1.1277,                0.28588,                0.34433,                0.26282,                0.21295,                0.29152,                0.33577,                0.25885,                0.20093,                0.89447,                 1.8332,                 1.4425,                 1.0504,              0.0034413,              0.0034413,              0.0034413
                     56,                 1.1067,                 2.2167,                 1.5488,                 1.1345,                 0.3362,                0.30393,                 0.2692,                 0.2171,                0.33102,                0.29497,                0.26226,                0.20584,                0.90664,                 1.8623,                  1.426,                 1.0553,              0.0033175,              0.0033175,              0.0033175
                     57,                 1.0928,                 2.1929,                 1.5294,                 1.1224,                0.38635,                0.30221,                0.27635,                0.22572,                0.39235,                0.30221,                0.26981,                0.21096,                0.89368,                 1.8264,                 1.4241,                 1.0523,              0.0031938,              0.0031938,              0.0031938
                     58,                  1.091,                 2.1742,                 1.5219,                 1.1274,                0.32319,                0.32045,                0.27451,                0.22415,                0.32644,                0.31554,                0.26867,                0.21116,                0.87842,                  1.829,                 1.4096,                 1.0391,                0.00307,                0.00307,                0.00307
                     59,                 1.1001,                 2.1982,                  1.514,                 1.1242,                0.38778,                 0.3084,                0.28158,                 0.2308,                0.37115,                0.30187,                0.27354,                0.21329,                0.87606,                 1.8346,                 1.3913,                 1.0402,              0.0029462,              0.0029462,              0.0029462
                     60,                 1.0759,                  2.128,                 1.4857,                  1.119,                0.34467,                0.31722,                0.27889,                0.22819,                0.33043,                0.30938,                0.27084,                0.21188,                0.88266,                  1.825,                 1.3967,                 1.0448,              0.0028225,              0.0028225,              0.0028225
                     61,                 1.0757,                 2.1811,                 1.4931,                  1.117,                0.34072,                0.32621,                0.28898,                 0.2379,                0.37588,                0.30022,                0.28187,                0.22237,                0.88554,                 1.8279,                 1.3938,                  1.041,              0.0026987,              0.0026987,              0.0026987
                     62,                 1.0833,                 2.1483,                 1.4855,                 1.1175,                0.33527,                0.31955,                0.29017,                0.23695,                0.35707,                0.28811,                 0.2816,                0.22139,                0.87297,                 1.8243,                 1.3884,                 1.0381,               0.002575,               0.002575,               0.002575
                     63,                 1.0644,                 2.1432,                 1.4829,                 1.1122,                0.32326,                0.32459,                0.28935,                0.23443,                0.53666,                0.26826,                0.28082,                0.21884,                0.87258,                 1.8224,                 1.3744,                 1.0367,              0.0024513,              0.0024513,              0.0024513
                     64,                 1.0733,                 2.1479,                 1.4796,                 1.1159,                0.35061,                0.31566,                0.29102,                0.23905,                0.35042,                0.31059,                0.28547,                0.22311,                0.86713,                 1.7962,                 1.3728,                 1.0321,              0.0023275,              0.0023275,              0.0023275
                     65,                 1.0686,                  2.145,                 1.4577,                 1.1124,                0.39609,                0.30546,                0.29685,                0.24233,                0.39075,                0.30154,                 0.2898,                0.22617,                 0.8699,                 1.8069,                 1.3594,                 1.0364,              0.0022038,              0.0022038,              0.0022038
                     66,                 1.0509,                 2.1402,                 1.4587,                  1.108,                0.32699,                0.32149,                0.28807,                0.23772,                0.30588,                0.31522,                0.27979,                0.22236,                0.86687,                 1.8143,                 1.3711,                 1.0382,                0.00208,                0.00208,                0.00208
                     67,                  1.047,                 2.1012,                 1.4471,                 1.1008,                0.36375,                 0.3304,                0.29271,                0.23865,                0.35626,                0.32172,                0.28286,                0.22321,                0.86671,                 1.8247,                 1.3718,                  1.035,              0.0019563,              0.0019563,              0.0019563
                     68,                 1.0542,                 2.1183,                 1.4334,                 1.1063,                0.34798,                0.33146,                0.30022,                0.24829,                 0.3391,                0.32343,                0.29379,                0.23261,                0.85967,                 1.8093,                 1.3444,                 1.0345,              0.0018325,              0.0018325,              0.0018325
